m,TagName,
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","javascript","4952"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","ruby","1023"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","php","5394"
"2010-12-01 00:00:00","r","223"
"2011-01-01 00:00:00","c","1460"
"2011-01-01 00:00:00","delphi","369"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c#","7989"
"2011-01-01 00:00:00","java","6541"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","perl","479"
"2011-01-01 00:00:00","javascript","5423"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","c++","3495"
"2011-01-01 00:00:00","php","6440"
"2011-01-01 00:00:00","python","2903"
"2011-01-01 00:00:00","swift","4"
"2011-01-01 00:00:00","ruby","1204"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","java","6872"
"2011-02-01 00:00:00","c#","8223"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","php","6714"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c++","3445"
"2011-02-01 00:00:00","c","1638"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","swift","5"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","python","3012"
"2011-02-01 00:00:00","delphi","359"
"2011-03-01 00:00:00","php","8118"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","python","3749"
"2011-03-01 00:00:00","javascript","6771"
"2011-03-01 00:00:00","c#","9988"
"2011-03-01 00:00:00","c","2110"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","java","8479"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","r","422"
"2011-04-01 00:00:00","java","7898"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","perl","552"
"2011-04-01 00:00:00","c#","9282"
"2011-04-01 00:00:00","c","2040"
"2011-04-01 00:00:00","php","7661"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c++","4166"
"2011-04-01 00:00:00","javascript","6879"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","python","3342"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","c++","3882"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","10016"
"2011-05-01 00:00:00","java","8568"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","delphi","475"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","php","8110"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","python","3516"
"2011-05-01 00:00:00","r","427"
"2011-06-01 00:00:00","python","3472"
"2011-06-01 00:00:00","c#","9763"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","javascript","7686"
"2011-06-01 00:00:00","c","1764"
"2011-06-01 00:00:00","c++","3813"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","java","7912"
"2011-06-01 00:00:00","php","8048"
"2011-06-01 00:00:00","swift","4"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","r","444"
"2011-07-01 00:00:00","c#","9610"
"2011-07-01 00:00:00","javascript","8112"
"2011-07-01 00:00:00","java","8164"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","c++","3850"
"2011-07-01 00:00:00","php","8709"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1659"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","perl","659"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3661"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","python","3828"
"2011-08-01 00:00:00","javascript","8911"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10075"
"2011-08-01 00:00:00","c++","3953"
"2011-08-01 00:00:00","java","8693"
"2011-08-01 00:00:00","php","8950"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","r","587"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","c","1916"
"2011-09-01 00:00:00","python","3520"
"2011-09-01 00:00:00","javascript","8197"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","ruby","1549"
"2011-09-01 00:00:00","java","8332"
"2011-09-01 00:00:00","c#","9307"
"2011-09-01 00:00:00","c++","3946"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","php","8088"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","go","26"
"2011-10-01 00:00:00","java","8566"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","c++","4355"
"2011-10-01 00:00:00","javascript","8039"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","c#","9229"
"2011-10-01 00:00:00","c","2139"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","php","8088"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","python","3625"
"2011-10-01 00:00:00","ruby","1616"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","209"
"2011-11-01 00:00:00","javascript","8694"
"2011-11-01 00:00:00","java","9655"
"2011-11-01 00:00:00","c#","9915"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","c++","4485"
"2011-11-01 00:00:00","c","2198"
"2011-11-01 00:00:00","go","66"
"2011-11-01 00:00:00","php","8710"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","swift","4"
"2011-11-01 00:00:00","python","3876"
"2011-11-01 00:00:00","r","607"
"2011-12-01 00:00:00","java","9216"
"2011-12-01 00:00:00","php","8355"
"2011-12-01 00:00:00","c#","9324"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","c","2005"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","javascript","8347"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","c++","4363"
"2011-12-01 00:00:00","python","3624"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","ruby","1686"
"2012-01-01 00:00:00","java","10155"
"2012-01-01 00:00:00","javascript","9613"
"2012-01-01 00:00:00","c#","10459"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","php","9342"
"2012-01-01 00:00:00","c++","4548"
"2012-01-01 00:00:00","c","2234"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1907"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","python","4211"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","javascript","9996"
"2012-02-01 00:00:00","python","4492"
"2012-02-01 00:00:00","java","10966"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","c++","5106"
"2012-02-01 00:00:00","c#","10766"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","php","9958"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","ruby","2047"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","r","813"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","c++","5240"
"2012-03-01 00:00:00","java","12410"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c#","11607"
"2012-03-01 00:00:00","c","2732"
"2012-03-01 00:00:00","javascript","10725"
"2012-03-01 00:00:00","php","10922"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","python","5042"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2193"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","java","12040"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","php","10431"
"2012-04-01 00:00:00","c","2671"
"2012-04-01 00:00:00","c++","5311"
"2012-04-01 00:00:00","perl","600"
"2012-04-01 00:00:00","c#","11134"
"2012-04-01 00:00:00","python","4920"
"2012-04-01 00:00:00","javascript","10680"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","ruby","1971"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c++","4989"
"2012-05-01 00:00:00","c#","11580"
"2012-05-01 00:00:00","java","12191"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","javascript","11526"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c","2484"
"2012-05-01 00:00:00","perl","644"
"2012-05-01 00:00:00","ruby","1979"
"2012-05-01 00:00:00","php","10956"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","python","5103"
"2012-06-01 00:00:00","java","11109"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","c#","11325"
"2012-06-01 00:00:00","javascript","11240"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2311"
"2012-06-01 00:00:00","c++","4653"
"2012-06-01 00:00:00","php","10599"
"2012-06-01 00:00:00","python","5281"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","ruby","1891"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","r","974"
"2012-07-01 00:00:00","delphi","441"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c++","5281"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12320"
"2012-07-01 00:00:00","java","12258"
"2012-07-01 00:00:00","python","5724"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","javascript","12310"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","swift","9"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","php","11748"
"2012-07-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","php","11901"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11950"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","c++","5164"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","python","5863"
"2012-08-01 00:00:00","c","2319"
"2012-08-01 00:00:00","javascript","12432"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","ruby","2061"
"2012-08-01 00:00:00","java","12257"
"2012-08-01 00:00:00","swift","5"
"2012-08-01 00:00:00","r","1089"
"2012-09-01 00:00:00","javascript","11165"
"2012-09-01 00:00:00","c","2531"
"2012-09-01 00:00:00","c#","11274"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","java","11620"
"2012-09-01 00:00:00","c++","4910"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","php","11003"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","perl","663"
"2012-09-01 00:00:00","python","5249"
"2012-09-01 00:00:00","r","1059"
"2012-09-01 00:00:00","ruby","1958"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","c#","12717"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","c++","5913"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12427"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3152"
"2012-10-01 00:00:00","python","6130"
"2012-10-01 00:00:00","java","13499"
"2012-10-01 00:00:00","php","11804"
"2012-10-01 00:00:00","swift","4"
